CRISNO	YEAR	CRISNAME	STATEA	NAMEA	ACTNUMA	STATEB	NAMEB	ACTNUMB	ONESIDE	COWMEMA	COWMEMB	GWMEMA	GWMEMB	IWCA	IWCB	YRTRIGA	MOTRIGA	DATRIGA	YRTERMA	MOTERMA	DATERMA	YRTRIGB	MOTRIGB	DATRIGB	YRTERMB	MOTERMB	DATERMB	TRGYRDY	TRGMODY	TRGDADY	TRMYRDY	TRMMODY	TRMDADY	DURDAYS	DURYEAR	ONGOING	CRDYNUM
2	1918	COSTA RICAN COUP        	93	NIC  	2	94	COS  	9999	2	0	3	0	0	1	-99	1918	5	25	1918	12	15	-99	-99	-99	-99	-99	-99	1918	5	25	1918	12	15	204	1	0	1
2	1919	COSTA RICAN COUP        	93	NIC  	9999	94	COS  	3	1	0	3	0	0	-99	1	-99	-99	-99	-99	-99	-99	1919	1	25	1919	9	3	1919	1	25	1919	9	3	221	1	0	2
3	1918	RUSSIAN CIVIL WAR II    	20	CAN  	9999	365	RUS  	4	1	3	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1918	6	23	1919	9	27	1918	6	23	1919	9	27	461	2	0	3
3	1919	RUSSIAN CIVIL WAR II    	20	CAN  	9999	365	RUS  	4	1	3	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1918	6	23	1919	9	27	1918	6	23	1919	9	27	461	2	1	3
3	1918	RUSSIAN CIVIL WAR II    	200	UNK  	9999	365	RUS  	4	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1918	6	23	1919	9	27	1918	6	23	1919	9	27	461	2	0	4
3	1919	RUSSIAN CIVIL WAR II    	200	UNK  	9999	365	RUS  	4	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1918	6	23	1919	9	27	1918	6	23	1919	9	27	461	2	1	4
3	1918	RUSSIAN CIVIL WAR II    	220	FRN  	9999	365	RUS  	4	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1918	6	23	1919	9	27	1918	6	23	1919	9	27	461	2	0	5
3	1919	RUSSIAN CIVIL WAR II    	220	FRN  	9999	365	RUS  	4	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1918	6	23	1919	9	27	1918	6	23	1919	9	27	461	2	1	5
4	1918	BALTIC INDEPENDENCE     	365	RUS  	5	366	EST  	6	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	11	22	1920	2	2	1918	11	22	1920	2	2	437	3	0	6
4	1919	BALTIC INDEPENDENCE     	365	RUS  	5	366	EST  	6	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	11	22	1920	2	2	1918	11	22	1920	2	2	437	3	1	6
4	1920	BALTIC INDEPENDENCE     	365	RUS  	5	366	EST  	6	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	11	22	1920	2	2	1918	11	22	1920	2	2	437	3	1	6
4	1918	BALTIC INDEPENDENCE     	365	RUS  	5	367	LAT  	8	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	12	31	1920	8	11	1918	12	31	1920	8	11	589	3	0	7
4	1919	BALTIC INDEPENDENCE     	365	RUS  	5	367	LAT  	8	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	12	31	1920	8	11	1918	12	31	1920	8	11	589	3	1	7
4	1920	BALTIC INDEPENDENCE     	365	RUS  	5	367	LAT  	8	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	12	31	1920	8	11	1918	12	31	1920	8	11	589	3	1	7
4	1918	BALTIC INDEPENDENCE     	365	RUS  	5	368	LIT  	7	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	12	31	1920	7	12	1918	12	31	1920	7	12	559	3	0	8
4	1919	BALTIC INDEPENDENCE     	365	RUS  	5	368	LIT  	7	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	12	31	1920	7	12	1918	12	31	1920	7	12	559	3	1	8
4	1920	BALTIC INDEPENDENCE     	365	RUS  	5	368	LIT  	7	0	0	0	0	0	1	1	1918	11	18	1920	8	11	1918	12	31	1920	7	12	1918	12	31	1920	7	12	559	3	1	8
5	1919	TESCHEN                 	290	POL  	10	315	CZE  	9	0	0	0	0	0	1	1	1919	1	23	1920	7	28	1919	1	15	1920	7	28	1919	1	23	1920	7	28	552	2	0	9
5	1920	TESCHEN                 	290	POL  	10	315	CZE  	9	0	0	0	0	0	1	1	1919	1	23	1920	7	28	1919	1	15	1920	7	28	1919	1	23	1920	7	28	552	2	1	9
6	1919	HUNGARIAN WAR           	220	FRN  	9999	310	HUN  	11	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1919	3	20	1919	8	3	1919	3	20	1919	8	3	136	1	0	10
6	1919	HUNGARIAN WAR           	220	FRN  	9999	310	HUN  	13	1	0	0	0	0	-99	3	-99	-99	-99	-99	-99	-99	1919	6	8	1919	6	16	1919	6	8	1919	6	16	8	1	0	11
6	1919	HUNGARIAN WAR           	310	HUN  	11	315	CZE  	12	0	0	0	0	0	1	7	1919	3	20	1919	8	3	1919	5	11	1919	6	24	1919	5	11	1919	6	24	44	1	0	12
6	1919	HUNGARIAN WAR           	310	HUN  	11	360	RUM  	14	0	0	0	0	0	1	7	1919	3	20	1919	8	3	1919	7	20	1919	8	3	1919	7	20	1919	8	3	14	1	0	13
7	1919	SMYRNA                  	325	ITA  	16	350	GRC  	15	0	0	0	0	0	1	1	1919	5	15	1919	7	29	1919	3	10	1919	7	29	1919	5	15	1919	7	29	75	1	0	14
8	1919	THIRD AFGHAN WAR        	200	UNK  	18	700	AFG  	17	0	0	3	0	1	1	1	1919	5	4	1919	8	8	1919	4	15	1919	8	8	1919	5	4	1919	8	8	96	1	0	15
9	1919	FINNISH/RUSSIAN BORD    	365	RUS  	19	375	FIN  	20	0	0	0	0	0	1	1	1919	4	20	1920	10	14	1919	5	18	1920	10	14	1919	5	18	1920	10	14	515	2	0	16
9	1920	FINNISH/RUSSIAN BORD    	365	RUS  	19	375	FIN  	20	0	0	0	0	0	1	1	1919	4	20	1920	10	14	1919	5	18	1920	10	14	1919	5	18	1920	10	14	515	2	1	16
10	1919	BESSARABIA              	360	RUM  	22	365	RUS  	21	0	0	0	0	0	1	1	1919	5	1	1920	3	2	1919	4	30	1920	3	2	1919	5	1	1920	3	2	306	2	0	17
10	1920	BESSARABIA              	360	RUM  	22	365	RUS  	21	0	0	0	0	0	1	1	1919	5	1	1920	3	2	1919	4	30	1920	3	2	1919	5	1	1920	3	2	306	2	1	17
11	1919	CILICIAN WAR            	200	UNK  	9999	640	TUR  	23	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1919	11	30	1921	10	20	1919	11	30	1921	10	20	690	3	0	18
11	1920	CILICIAN WAR            	200	UNK  	9999	640	TUR  	23	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1919	11	30	1921	10	20	1919	11	30	1921	10	20	690	3	1	18
11	1921	CILICIAN WAR            	200	UNK  	9999	640	TUR  	23	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1919	11	30	1921	10	20	1919	11	30	1921	10	20	690	3	1	18
11	1920	CILICIAN WAR            	220	FRN  	24	640	TUR  	23	0	0	0	0	0	1	1	1920	1	20	1921	10	20	1919	11	30	1921	10	20	1920	1	20	1921	10	20	639	2	0	19
11	1921	CILICIAN WAR            	220	FRN  	24	640	TUR  	23	0	0	0	0	0	1	1	1920	1	20	1921	10	20	1919	11	30	1921	10	20	1920	1	20	1921	10	20	639	2	1	19
12	1920	RHENISH REBELLIONS      	220	FRN  	25	255	GER  	26	0	0	0	0	0	1	1	1920	4	3	1920	4	24	1920	4	6	1920	5	17	1920	4	6	1920	4	24	18	1	0	20
13	1920	POLISH/RUSSIAN WAR      	290	POL  	28	365	RUS  	27	0	0	0	0	0	7	1	1920	5	15	1920	10	12	1920	4	25	1920	10	12	1920	5	15	1920	10	12	150	1	0	21
14	1920	PERSIAN BORDER          	200	UNK  	9999	365	RUS  	29	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1920	5	10	1921	2	26	1920	5	10	1921	2	26	292	2	0	22
14	1921	PERSIAN BORDER          	200	UNK  	9999	365	RUS  	29	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1920	5	10	1921	2	26	1920	5	10	1921	2	26	292	2	1	22
14	1920	PERSIAN BORDER          	365	RUS  	29	630	IRN  	30	0	0	0	0	0	1	1	1920	5	10	1921	2	26	1920	5	18	1921	2	26	1920	5	18	1921	2	26	284	2	0	23
14	1921	PERSIAN BORDER          	365	RUS  	29	630	IRN  	30	0	0	0	0	0	1	1	1920	5	10	1921	2	26	1920	5	18	1921	2	26	1920	5	18	1921	2	26	284	2	1	23
15	1920	AALAND ISLANDS          	375	FIN  	32	380	SWD  	31	0	0	0	0	0	1	1	1920	6	15	1921	10	20	1920	6	5	1921	10	20	1920	6	15	1921	10	20	492	2	0	24
15	1921	AALAND ISLANDS          	375	FIN  	32	380	SWD  	31	0	0	0	0	0	1	1	1920	6	15	1921	10	20	1920	6	5	1921	10	20	1920	6	15	1921	10	20	492	2	1	24
16	1920	GREECE/TURKEY I         	350	GRC  	9999	640	TUR  	33	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1920	6	22	1920	7	9	1920	6	22	1920	7	9	17	1	0	25
17	1920	VILNA I                 	290	POL  	34	368	LIT  	35	0	0	0	0	0	10	1	1920	7	12	1920	11	29	1920	7	14	1920	11	29	1920	7	14	1920	11	29	138	1	0	26
18	1921	GREECE/TURKEY II        	350	GRC  	9999	640	TUR  	36	1	0	0	0	0	-99	7	-99	-99	-99	-99	-99	-99	1921	1	6	1921	9	12	1921	1	6	1921	9	12	249	1	0	27
19	1921	COSTA RICA/PANAMA BDR   	2	USA  	9999	95	PAN  	37	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1921	2	21	1921	8	24	1921	2	21	1921	8	24	184	1	0	28
19	1921	COSTA RICA/PANAMA BDR   	94	COS  	38	95	PAN  	37	0	0	0	0	0	1	1	1921	2	27	1921	8	24	1921	2	21	1921	8	24	1921	2	27	1921	8	24	178	1	0	29
20	1921	GERMAN REPARATIONS      	200	UNK  	9999	255	GER  	39	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1921	3	3	1921	5	11	1921	3	3	1921	5	11	69	1	0	30
20	1921	GERMAN REPARATIONS      	220	FRN  	9999	255	GER  	39	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1921	3	3	1921	5	11	1921	3	3	1921	5	11	69	1	0	31
21	1921	KARL'S RETURN HUNGARY   	310	HUN  	44	315	CZE  	42	0	0	0	0	0	1	1	1921	3	30	1921	4	5	1921	3	27	1921	4	5	1921	3	30	1921	4	5	6	1	0	32
21	1921	KARL'S RETURN HUNGARY   	310	HUN  	47	315	CZE  	46	0	0	0	0	0	1	1	1921	10	20	1921	11	15	1921	10	20	1921	11	15	1921	10	20	1921	11	15	26	1	0	33
21	1921	KARL'S RETURN HUNGARY   	310	HUN  	44	345	YUG  	43	0	0	0	0	0	1	1	1921	3	30	1921	4	5	1921	3	27	1921	4	5	1921	3	30	1921	4	5	6	1	0	34
21	1921	KARL'S RETURN HUNGARY   	310	HUN  	47	345	YUG  	45	0	0	0	0	0	1	1	1921	10	20	1921	11	15	1921	10	20	1921	11	12	1921	10	20	1921	11	12	23	1	0	35
21	1921	KARL'S RETURN HUNGARY   	310	HUN  	47	360	RUM  	9999	2	0	0	0	0	1	-99	1921	10	20	1921	11	15	-99	-99	-99	-99	-99	-99	1921	10	20	1921	11	15	26	1	0	36
22	1921	AUSTRIAN SEPARATISTS    	220	FRA  	9999	305	AUS  	49	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1921	5	12	1921	6	21	1921	5	12	1921	6	21	40	1	0	37
22	1921	AUSTRIAN SEPARATISTS    	305	AUS  	49	325	ITA  	9999	2	0	0	0	0	1	-99	1921	5	12	1921	6	21	-99	-99	-99	-99	-99	-99	1921	5	12	1921	6	21	40	1	0	38
22	1921	AUSTRIAN SEPARATISTS    	305	AUS  	49	345	YUG  	48	0	0	0	0	0	1	1	1921	5	12	1921	6	21	1921	5	11	1921	6	21	1921	5	12	1921	6	21	40	1	0	39
23	1921	ALBANIAN FRONTIER       	339	ALB  	50	345	YUG  	51	0	0	0	0	0	1	1	1921	7	7	1921	11	18	1921	7	13	1921	11	18	1921	7	13	1921	11	18	128	1	0	40
24	1921	BURGENLAND DISPUTE      	305	AUS  	53	310	HUN  	52	0	0	0	0	0	1	1	1921	8	28	1921	12	28	1921	8	28	1921	12	28	1921	8	28	1921	12	28	122	1	0	41
25	1922	GREECE/TURKEY III       	350	GRC  	54	640	TUR  	9999	2	0	0	0	0	1	-99	1922	8	26	1922	9	15	-99	-99	-99	-99	-99	-99	1922	8	26	1922	9	15	20	1	0	42
26	1922	CHANAK                  	200	UNK  	56	640	TUR  	55	0	0	0	0	0	1	1	1922	9	23	1922	10	11	1922	9	23	1922	10	11	1922	9	23	1922	10	11	18	1	0	43
27	1923	RUHR I                  	211	BEL  	9999	255	GER  	58	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1923	2	28	1923	9	27	1923	2	28	1923	9	27	211	1	0	44
27	1923	RUHR I                  	220	FRN  	9999	255	GER  	58	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1923	2	28	1923	9	27	1923	2	28	1923	9	27	211	1	0	45
27	1923	RUHR I                  	290	POL  	57	365	USR  	9999	2	0	0	0	0	1	-99	1923	1	22	1923	7	31	-99	-99	-99	-99	-99	-99	1923	1	22	1923	7	31	190	1	0	46
28	1923	CORFU INCIDENT          	325	ITA  	9999	350	GRC  	60	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1923	8	31	1923	9	29	1923	8	31	1923	9	29	29	1	0	47
30	1924	RUHR II                 	220	FRN  	64	255	GER  	63	0	0	0	0	0	1	1	1924	7	8	1924	8	30	1924	4	29	1924	8	16	1924	7	8	1924	8	16	39	1	0	48
31	1924	MOSUL LAND DISPUTE      	200	UNK  	66	640	TUR  	65	0	0	0	0	0	1	1	1924	10	3	1924	11	15	1924	9	29	1924	11	15	1924	10	3	1924	11	15	43	1	0	49
32	1925	BULGARIA/GREECE FRONT   	350	GRC  	67	355	BUL  	68	0	0	0	0	0	1	1	1925	10	19	1925	12	15	1925	10	22	1925	12	15	1925	10	22	1925	12	15	54	1	0	50
33	1926	NICARAGUA CIVIL WAR I   	70	MEX  	9999	93	NIC  	69	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1926	8	17	1927	5	15	1926	8	17	1927	5	15	271	2	0	51
33	1927	NICARAGUA CIVIL WAR I   	70	MEX  	9999	93	NIC  	69	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1926	8	17	1927	5	15	1926	8	17	1927	5	15	271	2	1	51
34	1927	HEGEMONY OVER ALBANIA   	325	ITA  	72	345	YUG  	70	0	0	0	0	0	1	1	1927	3	17	1927	11	22	1926	11	28	1927	11	11	1927	3	17	1927	11	11	239	1	0	52
34	1927	HEGEMONY OVER ALBANIA   	339	ALB  	71	345	YUG  	70	0	0	0	0	0	1	1	1927	3	20	1927	3	23	1926	11	28	1927	11	11	1927	3	20	1927	3	23	3	1	0	53
35	1927	SHANTUNG                	710	CNA  	73	740	JAP  	74	0	0	0	0	0	1	1	1927	5	28	1929	3	28	1927	5	29	1929	3	28	1927	5	29	1929	3	28	669	3	0	54
35	1928	SHANTUNG                	710	CNA  	73	740	JAP  	74	0	0	0	0	0	1	1	1927	5	28	1929	3	28	1927	5	29	1929	3	28	1927	5	29	1929	3	28	669	3	1	54
35	1929	SHANTUNG                	710	CNA  	73	740	JAP  	74	0	0	0	0	0	1	1	1927	5	28	1929	3	28	1927	5	29	1929	3	28	1927	5	29	1929	3	28	669	3	1	54
36	1927	VILNA II                	290	POL  	76	368	LIT  	75	0	0	0	0	0	1	1	1927	10	15	1927	12	10	1927	10	20	1927	12	10	1927	10	20	1927	12	10	51	1	0	55
37	1928	CHACO I                 	145	BOL  	77	150	PAR  	78	0	0	0	0	0	1	1	1928	12	5	1929	9	12	1928	12	14	1929	9	12	1928	12	14	1929	9	12	272	2	0	56
37	1929	CHACO I                 	145	BOL  	77	150	PAR  	78	0	0	0	0	0	1	1	1928	12	5	1929	9	12	1928	12	14	1929	9	12	1928	12	14	1929	9	12	272	2	1	56
