crisno,year,crisname,statea,namea,actnuma,stateb,nameb,actnumb,trgyrdy,trgmody,trgdady,trmyrdy,trmmody,trmdady,ongoing,crdynum
2,1918,COSTA RICAN COUP,93,NIC,2,94,COS,9999,1918,5,25,1918,12,15,0,1
2,1919,COSTA RICAN COUP,93,NIC,9999,94,COS,3,1919,1,25,1919,9,3,0,2
3,1918,RUSSIAN CIVIL WAR II,20,CAN,9999,365,RUS,4,1918,6,23,1919,9,27,0,3
3,1919,RUSSIAN CIVIL WAR II,20,CAN,9999,365,RUS,4,1918,6,23,1919,9,27,1,3
3,1918,RUSSIAN CIVIL WAR II,200,UNK,9999,365,RUS,4,1918,6,23,1919,9,27,0,4
3,1919,RUSSIAN CIVIL WAR II,200,UNK,9999,365,RUS,4,1918,6,23,1919,9,27,1,4
3,1918,RUSSIAN CIVIL WAR II,220,FRN,9999,365,RUS,4,1918,6,23,1919,9,27,0,5
3,1919,RUSSIAN CIVIL WAR II,220,FRN,9999,365,RUS,4,1918,6,23,1919,9,27,1,5
4,1918,BALTIC INDEPENDENCE,365,RUS,5,366,EST,6,1918,11,18,1920,2,2,0,6
4,1919,BALTIC INDEPENDENCE,365,RUS,5,366,EST,6,1918,11,18,1920,2,2,1,6
4,1920,BALTIC INDEPENDENCE,365,RUS,5,366,EST,6,1918,11,18,1920,2,2,1,6
4,1918,BALTIC INDEPENDENCE,365,RUS,5,367,LAT,8,1918,11,18,1920,8,11,0,7
4,1919,BALTIC INDEPENDENCE,365,RUS,5,367,LAT,8,1918,11,18,1920,8,11,1,7
4,1920,BALTIC INDEPENDENCE,365,RUS,5,367,LAT,8,1918,11,18,1920,8,11,1,7
4,1918,BALTIC INDEPENDENCE,365,RUS,5,368,LIT,7,1918,11,18,1920,7,12,0,8
4,1919,BALTIC INDEPENDENCE,365,RUS,5,368,LIT,7,1918,11,18,1920,7,12,1,8
4,1920,BALTIC INDEPENDENCE,365,RUS,5,368,LIT,7,1918,11,18,1920,7,12,1,8
5,1919,TESCHEN,290,POL,10,315,CZE,9,1919,1,15,1920,7,28,0,9
5,1920,TESCHEN,290,POL,10,315,CZE,9,1919,1,15,1920,7,28,1,9
6,1919,HUNGARIAN WAR,220,FRN,9999,310,HUN,11,1919,3,20,1919,8,3,0,10
6,1919,HUNGARIAN WAR,220,FRN,9999,310,HUN,13,1919,6,8,1919,6,16,0,11
6,1919,HUNGARIAN WAR,310,HUN,11,315,CZE,12,1919,3,20,1919,6,24,0,12
6,1919,HUNGARIAN WAR,310,HUN,11,360,RUM,14,1919,3,20,1919,8,3,0,13
7,1919,SMYRNA,325,ITA,16,350,GRC,15,1919,3,10,1919,7,29,0,14
8,1919,THIRD AFGHAN WAR,200,UNK,18,700,AFG,17,1919,4,15,1919,8,8,0,15
9,1919,FINNISH/RUSSIAN BORD,365,RUS,19,375,FIN,20,1919,4,20,1920,10,14,0,16
9,1920,FINNISH/RUSSIAN BORD,365,RUS,19,375,FIN,20,1919,4,20,1920,10,14,1,16
10,1919,BESSARABIA,360,RUM,22,365,RUS,21,1919,4,30,1920,3,2,0,17
10,1920,BESSARABIA,360,RUM,22,365,RUS,21,1919,4,30,1920,3,2,1,17
11,1919,CILICIAN WAR,200,UNK,9999,640,TUR,23,1919,11,30,1921,10,20,0,18
11,1920,CILICIAN WAR,200,UNK,9999,640,TUR,23,1919,11,30,1921,10,20,1,18
11,1921,CILICIAN WAR,200,UNK,9999,640,TUR,23,1919,11,30,1921,10,20,1,18
11,1920,CILICIAN WAR,220,FRN,24,640,TUR,23,1919,11,30,1921,10,20,0,19
11,1921,CILICIAN WAR,220,FRN,24,640,TUR,23,1919,11,30,1921,10,20,1,19
12,1920,RHENISH REBELLIONS,220,FRN,25,255,GER,26,1920,4,3,1920,4,24,0,20
13,1920,POLISH/RUSSIAN WAR,290,POL,28,365,RUS,27,1920,4,25,1920,10,12,0,21
14,1920,PERSIAN BORDER,200,UNK,9999,365,RUS,29,1920,5,10,1921,2,26,0,22
14,1921,PERSIAN BORDER,200,UNK,9999,365,RUS,29,1920,5,10,1921,2,26,1,22
14,1920,PERSIAN BORDER,365,RUS,29,630,IRN,30,1920,5,10,1921,2,26,0,23
14,1921,PERSIAN BORDER,365,RUS,29,630,IRN,30,1920,5,10,1921,2,26,1,23
15,1920,AALAND ISLANDS,375,FIN,32,380,SWD,31,1920,6,5,1921,10,20,0,24
15,1921,AALAND ISLANDS,375,FIN,32,380,SWD,31,1920,6,5,1921,10,20,1,24
16,1920,GREECE/TURKEY I,350,GRC,9999,640,TUR,33,1920,6,22,1920,7,9,0,25
17,1920,VILNA I,290,POL,34,368,LIT,35,1920,7,12,1920,11,29,0,26
18,1921,GREECE/TURKEY II,350,GRC,9999,640,TUR,36,1921,1,6,1921,9,12,0,27
19,1921,COSTA RICA/PANAMA BDR,2,USA,9999,95,PAN,37,1921,2,21,1921,8,24,0,28
19,1921,COSTA RICA/PANAMA BDR,94,COS,38,95,PAN,37,1921,2,21,1921,8,24,0,29
20,1921,GERMAN REPARATIONS,200,UNK,9999,255,GER,39,1921,3,3,1921,5,11,0,30
20,1921,GERMAN REPARATIONS,220,FRN,9999,255,GER,39,1921,3,3,1921,5,11,0,31
21,1921,KARL'S RETURN HUNGARY,310,HUN,44,315,CZE,42,1921,3,27,1921,4,5,0,32
21,1921,KARL'S RETURN HUNGARY,310,HUN,47,315,CZE,46,1921,10,20,1921,11,15,0,33
21,1921,KARL'S RETURN HUNGARY,310,HUN,44,345,YUG,43,1921,3,27,1921,4,5,0,34
21,1921,KARL'S RETURN HUNGARY,310,HUN,47,345,YUG,45,1921,10,20,1921,11,12,0,35
21,1921,KARL'S RETURN HUNGARY,310,HUN,47,360,RUM,9999,1921,10,20,1921,11,15,0,36
22,1921,AUSTRIAN SEPARATISTS,220,FRA,9999,305,AUS,49,1921,5,12,1921,6,21,0,37
