rivnumb,rivalry,rivala,rivalb,beginr,endr,totdisp,rivtyp2,rivtypold
1,2020,2,20,19740914,19970528,7,RIVALRY,ENDURING
4,2040,2,40,19590114,19960224,17,RIVALRY,ENDURING
10002,2040,2,40,19120815,19340131,3,RIVALRY,PROTO
8,2041,2,41,19630428,19630603,1,ISOLATED,ISOLATED
9,2041,2,41,19931018,19940929,2,ISOLATED,ISOLATED
10005,2041,2,41,18691101,19150909,8,RIVALRY,ENDURING
10,2042,2,42,19000101,19170529,4,RIVALRY,PROTO
11,2042,2,42,19591217,19611125,2,ISOLATED,ISOLATED
12,2055,2,55,19831021,19831101,1,ISOLATED,ISOLATED
13,2070,2,70,18360404,18930931,17,RIVALRY,ENDURING
14,2070,2,70,19110125,19200225,7,RIVALRY,PROTO
15,2070,2,70,19561112,19561112,1,ISOLATED,ISOLATED
16,2090,2,90,18850310,18850331,1,ISOLATED,ISOLATED
17,2090,2,90,19110102,19110310,1,ISOLATED,ISOLATED
18,2090,2,90,19581229,19581229,1,ISOLATED,ISOLATED
20,2091,2,91,19290407,19290407,1,ISOLATED,ISOLATED
21,2092,2,92,19210501,19210531,1,ISOLATED,ISOLATED
24,2093,2,93,19540801,19540801,1,ISOLATED,ISOLATED
25,2093,2,93,19820317,19880331,3,RIVALRY,PROTO
10022,2093,2,93,19090103,19260923,3,RIVALRY,PROTO
26,2095,2,95,19210228,19210909,1,ISOLATED,ISOLATED
27,2095,2,95,19760505,19760506,1,ISOLATED,ISOLATED
28,2095,2,95,19870924,19891222,2,ISOLATED,ISOLATED
29,2100,2,100,18340201,18340831,1,ISOLATED,ISOLATED
30,2100,2,100,18560625,18561011,1,ISOLATED,ISOLATED
31,2100,2,100,18960403,19040125,2,ISOLATED,ISOLATED
32,2101,2,101,20001021,20001021,2,ISOLATED,ISOLATED
33,2130,2,130,19520801,19810120,8,RIVALRY,ENDURING
34,2135,2,135,18520501,18580531,2,ISOLATED,ISOLATED
35,2135,2,135,19550129,19920424,6,RIVALRY,ENDURING
36,2140,2,140,18661103,18680831,2,ISOLATED,ISOLATED
37,2140,2,140,19030204,19030204,1,ISOLATED,ISOLATED
38,2155,2,155,18570820,18570931,1,ISOLATED,ISOLATED
39,2155,2,155,18830122,18920125,2,ISOLATED,ISOLATED
40,2155,2,155,19571213,19571218,1,ISOLATED,ISOLATED
41,2200,2,200,18371229,18611226,8,RIVALRY,ENDURING
42,2200,2,200,18810101,18810131,1,ISOLATED,ISOLATED
43,2200,2,200,19020701,19031020,3,RIVALRY,PROTO
44,2200,2,200,19391214,19401103,1,ISOLATED,ISOLATED
45,2220,2,220,18351101,18351231,1,ISOLATED,ISOLATED
46,2220,2,220,18601220,18660212,2,ISOLATED,ISOLATED
47,2220,2,220,18950211,18950311,1,ISOLATED,ISOLATED
48,2225,2,225,19541004,19590320,2,ISOLATED,ISOLATED
49,2230,2,230,18160727,18250331,8,RIVALRY,PROTO
10050,2230,2,230,18500601,18980812,13,RIVALRY,ENDURING
53,2255,2,255,18870601,18890316,2,ISOLATED,ISOLATED
54,2255,2,255,19021208,19030219,1,ISOLATED,ISOLATED
55,2255,2,255,19150210,19181111,4,RIVALRY,PROTO
56,2255,2,255,19391024,19450507,4,RIVALRY,PROTO
57,2265,2,265,19580608,19611028,2,ISOLATED,ISOLATED
59,2290,2,290,19611018,19611028,1,ISOLATED,ISOLATED
60,2300,2,300,18530702,18530702,1,ISOLATED,ISOLATED
61,2300,2,300,19170417,19181103,1,ISOLATED,ISOLATED
62,2305,2,305,19601008,19601008,1,ISOLATED,ISOLATED
10063,2310,2,310,19410313,19450120,2,ISOLATED,ISOLATED
10064,2310,2,310,19510416,19511124,1,ISOLATED,ISOLATED
64,2315,2,315,19530310,19611028,3,RIVALRY,PROTO
65,2315,2,315,19850929,19850929,1,ISOLATED,ISOLATED
66,2325,2,325,19021216,19030219,1,ISOLATED,ISOLATED
67,2325,2,325,19411207,19431025,2,ISOLATED,ISOLATED
68,2339,2,339,19580107,19580110,1,ISOLATED,ISOLATED
69,2345,2,345,19460809,19460831,1,ISOLATED,ISOLATED
70,2345,2,345,19920716,20001128,12,RIVALRY,PROTO
71,2350,2,350,19830520,19840310,1,ISOLATED,ISOLATED
72,2355,2,355,19170417,19180929,1,ISOLATED,ISOLATED
10073,2355,2,355,19410601,19440808,2,ISOLATED,ISOLATED
10074,2360,2,360,19401213,19511124,3,RIVALRY,PROTO
10075,2360,2,360,19510416,19511124,1,ISOLATED,ISOLATED
76,2365,2,365,19180112,19201001,3,RIVALRY,PROTO
77,2365,2,365,19460415,20001231,59,RIVALRY,ENDURING
79,2380,2,380,19170201,19170531,1,ISOLATED,ISOLATED
80,2438,2,438,19661030,19661031,1,ISOLATED,ISOLATED
81,2450,2,450,19980900,19981130,2,ISOLATED,ISOLATED
82,2600,2,600,19040531,19040628,1,ISOLATED,ISOLATED
83,2620,2,620,19730321,19960402,15,RIVALRY,ENDURING
84,2625,2,625,19980820,19980820,2,ISOLATED,ISOLATED
85,2630,2,630,19791104,19971003,11,RIVALRY,PROTO
86,2640,2,640,19170417,19181111,1,ISOLATED,ISOLATED
87,2645,2,645,19580715,19581024,1,ISOLATED,ISOLATED
88,2645,2,645,19700611,19700926,1,ISOLATED,ISOLATED
89,2645,2,645,19870517,20011010,18,RIVALRY,PROTO
90,2651,2,651,19560419,19680213,7,RIVALRY,PROTO
91,2652,2,652,19570425,19571119,1,ISOLATED,ISOLATED
92,2652,2,652,19700916,19960630,5,RIVALRY,PROTO
93,2663,2,663,19900809,19910303,1,ISOLATED,ISOLATED
94,2666,2,666,19760831,19760906,1,ISOLATED,ISOLATED
95,2678,2,678,19621111,19621215,1,ISOLATED,ISOLATED
96,2680,2,680,19821203,19821207,1,ISOLATED,ISOLATED
97,2700,2,700,19980820,20011115,4,RIVALRY,PROTO
98,2710,2,710,18700822,18701005,1,ISOLATED,ISOLATED
99,2710,2,710,19000530,19060306,2,ISOLATED,ISOLATED
100,2710,2,710,19260315,19270328,2,ISOLATED,ISOLATED
10101,2710,2,710,19491001,20010817,36,RIVALRY,ENDURING
103,2713,2,713,19491002,19500227,1,ISOLATED,ISOLATED
104,2731,2,731,19500627,20000323,28,RIVALRY,ENDURING
105,2740,2,740,18630720,18640914,2,ISOLATED,ISOLATED
106,2740,2,740,18851001,18851131,1,ISOLATED,ISOLATED
107,2740,2,740,19081015,19081025,1,ISOLATED,ISOLATED
108,2740,2,740,19320131,19450814,4,RIVALRY,PROTO
109,2811,2,811,19640319,19750515,5,ISOLATED,ISOLATED
110,2816,2,816,19610101,19730127,4,RIVALRY,PROTO
111,20041,20,41,19630428,19630603,1,ISOLATED,ISOLATED
112,20041,20,41,19931018,19940929,2,ISOLATED,ISOLATED
113,20092,20,92,19320222,19320225,1,ISOLATED,ISOLATED
115,20220,20,220,19870317,19880506,2,ISOLATED,ISOLATED
117,20230,20,230,19950307,19950416,2,ISOLATED,ISOLATED
118,20255,20,255,19390910,19450507,1,ISOLATED,ISOLATED
121,20345,20,345,19980611,20001128,8,RIVALRY,PROTO
122,20355,20,355,19411213,19440826,1,ISOLATED,ISOLATED
124,20365,20,365,19200101,19201001,1,ISOLATED,ISOLATED
126,20365,20,365,19800313,19800319,1,ISOLATED,ISOLATED
127,20365,20,365,19990408,20001231,4,RIVALRY,PROTO
129,20645,20,645,19900810,19910303,1,ISOLATED,ISOLATED
131,20700,20,700,20011007,20011115,2,ISOLATED,ISOLATED
132,20710,20,710,19500930,19530727,1,ISOLATED,ISOLATED
133,20731,20,731,19500629,19530727,1,ISOLATED,ISOLATED
134,20731,20,731,19940610,19940617,2,ISOLATED,ISOLATED
135,20740,20,740,19411207,19450814,1,ISOLATED,ISOLATED
137,40042,40,42,19590623,19590724,1,ISOLATED,ISOLATED
138,40051,40,51,19831023,19831101,1,ISOLATED,ISOLATED
139,40053,40,53,19831023,19831101,1,ISOLATED,ISOLATED
140,40054,40,54,19831023,19831101,1,ISOLATED,ISOLATED
141,40056,40,56,19831023,19831101,1,ISOLATED,ISOLATED
142,40057,40,57,19831023,19831101,1,ISOLATED,ISOLATED
143,40058,40,58,19831023,19831101,1,ISOLATED,ISOLATED
144,40101,40,101,19670508,19681219,2,ISOLATED,ISOLATED
145,40220,40,220,19770415,19770526,1,ISOLATED,ISOLATED
146,40255,40,255,19170404,19181111,1,ISOLATED,ISOLATED
147,40255,40,255,19411211,19421209,3,ISOLATED,ISOLATED
148,40325,40,325,19411211,19420611,1,ISOLATED,ISOLATED
149,40482,40,482,19770513,19770525,1,ISOLATED,ISOLATED
150,40490,40,490,19751224,19780120,2,ISOLATED,ISOLATED
151,40520,40,520,19770728,19780314,1,ISOLATED,ISOLATED
152,40551,40,551,19760128,19760931,1,ISOLATED,ISOLATED
153,40560,40,560,19750801,19880830,1,ISOLATED,ISOLATED
154,40600,40,600,19770416,19800713,2,ISOLATED,ISOLATED
155,40651,40,651,19770428,19770525,1,ISOLATED,ISOLATED
156,40740,40,740,19411209,19420609,1,ISOLATED,ISOLATED
157,41042,41,42,19010201,19120701,2,ISOLATED,ISOLATED
158,41042,41,42,19490216,19500131,2,ISOLATED,ISOLATED
159,41042,41,42,19630426,19630603,1,ISOLATED,ISOLATED
160,41042,41,42,19860131,19940929,4,RIVALRY,PROTO
161,41160,41,160,19931018,19940929,2,ISOLATED,ISOLATED
162,41200,41,200,18830701,18870430,3,RIVALRY,PROTO
163,41200,41,200,19630428,19630603,1,ISOLATED,ISOLATED
164,41200,41,200,19931020,19940929,2,ISOLATED,ISOLATED
165,41210,41,210,19931020,19940929,2,ISOLATED,ISOLATED
166,41220,41,220,19931018,19940929,2,ISOLATED,ISOLATED
170,41255,41,255,19411212,19420624,1,ISOLATED,ISOLATED
10167,41255,41,255,18720611,19110803,4,RIVALRY,PROTO
171,41310,41,310,19411224,19420624,1,ISOLATED,ISOLATED
172,41325,41,325,19411212,19420612,1,ISOLATED,ISOLATED
173,41355,41,355,19411224,19420624,1,ISOLATED,ISOLATED
174,41360,41,360,19411224,19420802,2,ISOLATED,ISOLATED
175,41740,41,740,19411208,19420608,1,ISOLATED,ISOLATED
176,42101,42,101,19590701,19590724,1,ISOLATED,ISOLATED
177,42220,42,220,18950110,19000209,2,ISOLATED,ISOLATED
178,42255,42,255,19411211,19420611,1,ISOLATED,ISOLATED
179,42325,42,325,19411211,19420611,1,ISOLATED,ISOLATED
180,42740,42,740,19411208,19420608,1,ISOLATED,ISOLATED
181,51055,51,55,19831025,19831101,1,ISOLATED,ISOLATED
182,52101,52,101,19961030,19990831,6,RIVALRY,PROTO
183,53055,53,55,19831025,19831101,1,ISOLATED,ISOLATED
184,54055,54,55,19831025,19831101,1,ISOLATED,ISOLATED
185,55056,55,56,19831025,19831101,1,ISOLATED,ISOLATED
186,55057,55,57,19831025,19831101,1,ISOLATED,ISOLATED
187,55058,55,58,19831025,19831101,1,ISOLATED,ISOLATED
188,70090,70,90,18850301,18850331,1,ISOLATED,ISOLATED
189,70090,70,90,19581229,19590129,1,ISOLATED,ISOLATED
190,70090,70,90,19820802,19840430,2,ISOLATED,ISOLATED
191,70093,70,93,19090314,19090525,1,ISOLATED,ISOLATED
192,70200,70,200,18611031,18620408,1,ISOLATED,ISOLATED
193,70200,70,200,19131120,19160504,2,ISOLATED,ISOLATED
10194,70220,70,220,18380321,18670205,2,ISOLATED,ISOLATED
196,70230,70,230,18611031,18620408,1,ISOLATED,ISOLATED
197,70230,70,230,19131129,19131226,1,ISOLATED,ISOLATED
198,70255,70,255,19131014,19131206,1,ISOLATED,ISOLATED
199,70255,70,255,19391219,19421122,3,ISOLATED,ISOLATED
200,70325,70,325,19420522,19421122,2,ISOLATED,ISOLATED
201,70740,70,740,19420522,19421122,1,ISOLATED,ISOLATED
202,80090,80,90,19931015,20010513,10,RIVALRY,PROTO
10203,90091,90,91,19060713,19070630,2,ISOLATED,ISOLATED
11203,90091,90,91,19170219,19280214,2,ISOLATED,ISOLATED
206,90092,90,92,19350828,19350931,1,ISOLATED,ISOLATED
207,90092,90,92,19701115,19701116,1,ISOLATED,ISOLATED
100204,90092,90,92,18760201,19060720,4,RIVALRY,PROTO
208,90093,90,93,19060528,19060631,1,ISOLATED,ISOLATED
209,90200,90,200,19130510,19130514,1,ISOLATED,ISOLATED
210,90200,90,200,19720127,19770719,3,RIVALRY,PROTO
211,90230,90,230,18900727,18900825,1,ISOLATED,ISOLATED
212,90255,90,255,19180423,19181111,1,ISOLATED,ISOLATED
213,90255,90,255,19411211,19420611,1,ISOLATED,ISOLATED
214,90325,90,325,19411211,19420611,1,ISOLATED,ISOLATED
215,90740,90,740,19411209,19420609,1,ISOLATED,ISOLATED
218,91092,91,92,19690624,19930220,6,RIVALRY,ENDURING
10216,91092,91,92,19200301,19200514,1,ISOLATED,ISOLATED
219,91093,91,93,19070105,19290709,6,RIVALRY,ENDURING
10220,91093,91,93,19570419,20010331,22,RIVALRY,ENDURING
222,91200,91,200,19110116,19110310,1,ISOLATED,ISOLATED
223,91255,91,255,19180519,19181111,1,ISOLATED,ISOLATED
224,91255,91,255,19411213,19420613,2,ISOLATED,ISOLATED
225,91325,91,325,19411213,19420613,1,ISOLATED,ISOLATED
226,91740,91,740,19411208,19420608,1,ISOLATED,ISOLATED
227,92093,92,93,19070312,19090525,3,RIVALRY,PROTO
228,92093,92,93,19970307,19970331,2,ISOLATED,ISOLATED
229,92255,92,255,19411212,19420612,1,ISOLATED,ISOLATED
230,92325,92,325,18760301,18760316,1,ISOLATED,ISOLATED
231,92325,92,325,19411212,19420612,1,ISOLATED,ISOLATED
232,92740,92,740,19411208,19420608,1,ISOLATED,ISOLATED
233,93094,93,94,19480419,19570623,4,RIVALRY,PROTO
234,93094,93,94,19771013,19980831,10,RIVALRY,PROTO
235,93100,93,100,19131224,19140131,1,ISOLATED,ISOLATED
236,93100,93,100,19800207,19800207,1,ISOLATED,ISOLATED
